metal_linker,organic_linker1,organic_linker2,topology,CO2/N2_selectivity,heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],functional_groups1,functional_groups2
4,7,27,0,14.04879074,5.604779,-1,-1
2,4,26,5,20.21722169,6.148776,4,3
3,18,22,5,33.10866151,6.164397,2,5
2,8,15,5,12.80056168,5.164957,6,5
3,10,22,5,23.39561652,7.090687,13,-1
9,10,28,8,49.25180982,7.334542999999998,9,10
3,1,18,5,18.48760329,5.671204,13,-1
3,16,16,5,13.97259895,5.274335,16,12
4,3,27,0,10.29489266,5.064876,16,15
2,10,29,5,72.74346069,7.425464,-1,5
4,6,17,0,35.17498629,6.726739,14,7
4,27,27,0,32.90207562,6.600984,3,5
3,9,9,4,14.18270662,5.996164,1,6
4,4,11,0,64.13190702,7.544046,-1,15
4,14,22,0,165.80064319999997,8.819874999999998,-1,-1
3,10,23,5,13.89850112,5.212527,-1,-1
2,11,14,5,11.39964462,4.847198000000001,12,8
3,18,26,5,11.00255867,5.209406,14,4
2,4,29,5,14.22726006,4.948911,6,4
3,4,7,5,32.82573611,6.621175,2,5
3,1,28,5,8.364191619999998,4.905192,-1,-1
2,4,13,5,31.52642488,6.377837,9,12
9,2,2,8,33.87359855,6.402529,0,3
2,14,19,5,17.45588102,5.835593,-1,-1
4,1,11,0,40.83383262,8.105341000000001,2,14
9,18,19,8,47.83305961,6.679682000000001,-1,-1
9,4,11,8,13.02054117,5.577853,-1,-1
3,4,16,5,16.26037363,5.46802,-1,-1
3,14,27,5,11.75062397,4.967974,12,4
2,4,18,5,17.95802711,6.072034,18,9
12,1,10,1,25.39120983,5.803627,-1,-1
2,24,29,5,12.4541596,4.956232,10,1
2,5,13,5,19.18901518,6.3690370000000005,18,7
3,25,27,5,12.9285465,5.32066,1,9
9,5,24,8,27.13887544,6.894887,5,8
3,10,11,5,17.46808633,5.769334,4,15
10,50,57,2,25.36073055,6.365133,12,5
12,1,22,1,12.51165092,4.724266,12,17
3,8,14,5,17.41426633,5.823179,3,9
3,13,28,5,24.81433562,5.840558000000001,3,17
3,10,21,5,19.69229759,6.266769999999999,7,13
3,4,9,5,59.69567745,6.895952,-1,-1
2,11,16,5,13.79875321,5.292586,-1,-1
9,16,23,8,51.64056543,6.704681,6,15
4,6,17,0,29.49546395,5.755008,4,1
9,17,18,8,30.32731763,7.059143,15,0
2,4,5,5,15.12507064,5.455203,-1,-1
3,5,26,5,24.04554404,6.075003,-1,-1
2,4,4,5,25.23735653,6.745147,15,4
2,4,8,5,8.823012116000001,4.796126,-1,-1
2,11,29,5,18.68721541,5.91585,16,3
3,15,19,4,27.95283637,6.29884,-1,-1
2,3,5,5,13.86140025,5.322178,8,7
4,11,15,0,41.80173198,6.872482000000001,-1,-1
3,13,21,5,20.37448745,5.770457,3,15
2,4,27,5,16.78926045,4.87366,-1,-1
1,14,14,5,15.37905788,5.113114,-1,4
3,38,40,3,16.99043845,5.250892,15,-1
12,1,22,1,22.58097842,6.756411999999999,19,12
9,4,17,8,14.29292785,5.749389,17,7
3,10,29,5,40.03548747,6.6949380000000005,14,-1
3,10,27,5,11.81623426,5.771527,13,7
2,14,29,5,15.50823143,5.2610790000000005,17,16
9,18,20,8,27.88096559,6.435694,15,0
10,42,57,2,29.12933441,5.903367,8,10
2,10,13,5,28.76097503,6.729953,16,9
2,14,22,5,16.54275423,6.052718,-1,-1
9,8,16,8,40.73790669,6.589752000000001,3,18
3,11,17,5,32.86073154,6.829721000000001,4,3
9,12,18,8,14.274235,6.442126999999999,18,7
9,7,18,8,53.93148842,6.743413,8,12
3,5,17,5,19.25061033,5.918114,-1,-1
2,1,26,5,11.78417117,5.414332,0,2
3,12,18,5,27.11817261,6.713894,8,19
2,10,11,5,87.94253566,8.766683999999998,-1,-1
3,13,16,5,30.01715152,6.186185,15,3
9,5,2,8,111.2950997,9.841972,-1,-1
4,5,24,0,27.88407813,7.305707,8,3
2,9,9,4,22.14181167,5.688804,4,5
2,9,13,5,15.17341797,6.3381300000000005,17,12
2,22,29,5,20.78178285,6.167477,2,17
9,28,28,8,30.40290463,5.96201,-1,-1
3,13,19,5,14.30214339,5.5444260000000005,-1,-1
2,10,17,5,28.06664677,6.5041720000000005,-1,-1
10,42,57,2,46.84726328,7.920886999999999,6,0
3,16,19,5,12.42552744,4.704985,8,-1
1,15,22,5,24.98010636,6.343223,10,5
2,1,7,5,36.91381721,6.412898,-1,-1
2,3,15,5,14.83463831,6.016611,8,7
9,10,28,8,35.41748172,7.295275,0,8
3,13,16,5,14.59998666,5.589674,10,-1
4,4,14,0,70.95828911,8.56789,-1,-1
3,10,21,5,47.38307386,8.153132000000001,14,2
3,11,14,5,32.53898479,6.296852,0,1
3,16,24,5,11.41180604,5.394302,-1,-1
2,16,23,5,23.2121564,6.25997,9,12
4,17,23,0,20.81684933,5.245294,18,7
3,1,17,5,13.87781189,5.165285,4,7
2,9,18,5,24.03168971,5.749308999999999,8,0
3,11,14,5,14.12301712,5.257776,1,15
3,10,26,5,16.76279209,5.428269,5,15
3,17,18,5,15.98836825,5.483103,1,14
3,1,4,5,25.31322078,5.903717,4,17
2,14,22,5,43.09127361,8.853197,10,-1
9,26,26,8,11.94418169,5.328795,-1,-1
12,1,24,1,19.56361508,5.235513,-1,-1
2,11,14,5,17.14785698,5.915393,2,17
4,5,14,0,96.15608372,7.372283,-1,-1
2,2,14,5,9.334486744,5.65405,-1,-1
12,4,24,1,12.56424873,5.468529,-1,-1
3,5,22,5,21.95529715,5.998167,5,-1
3,10,25,5,32.79344801,9.4903,-1,-1
9,2,25,8,56.73471372,6.083343,-1,-1
3,18,22,5,16.39685133,5.334199,4,15
4,17,25,0,27.37365869,4.966264,-1,-1
9,2,16,8,5.924479868,9.482519000000002,12,16
1,10,18,5,26.15137631,5.817625,10,7
4,6,17,0,11.00671795,7.538473,12,1
3,16,24,5,56.02925556,7.0201080000000005,19,3
10,55,57,2,25.91594815,7.185361,7,13
3,35,35,6,8.557557095,5.722606,17,14
9,16,20,8,17.87452741,7.906522,10,3
