metal_linker,organic_linker1,organic_linker2,topology,Co2N2_selectivity,heat_adsorption,CO2_working_capacity,functional_groups1,functional_groups2
3,4,11,5,22.86416611,6.786041,105.2845017241596,10,9
10,44,57,2,33.61678033,7.147286,101.22477417834172,15,1
2,22,24,5,19.26372569,6.347967,118.98701074687752,1,10
9,17,24,8,25.70137692,6.190085,187.62600449626183,20,2
2,1,22,5,30.00183795,6.478063,79.21000065588353,7,5
9,7,23,8,17.14654102,5.398304,55.7869591021412,14,0
10,53,55,2,18.36379134,6.303857,111.69046224719489,12,20
2,5,13,5,12.68480443,5.234732,58.989774287110805,17,20
4,14,19,0,37.04042435,6.298964,135.58710841724886,4,20
3,13,29,5,10.9992991,5.539327,59.73905673864041,7,5
9,1,24,8,24.25902464,5.926444,161.06749898914796,2,20
2,22,24,5,58.10697445,7.4078979999999985,101.96481234318138,8,17
2,4,6,5,12.99674112,4.936655,79.91916950624072,7,0
2,12,22,5,31.66445559,7.427183,133.3711208364308,9,16
3,4,26,5,17.01166312,5.139598,62.32762208837283,15,1
10,52,54,2,19.28955582,5.867149,54.93615457357025,1,12
2,38,41,3,15.894512699999998,5.390903,98.10944956383052,13,14
2,14,14,5,35.34220222,7.488088999999999,324.0160452431515,8,15
2,8,10,5,11.94115719,5.547678,60.05088633787799,2,14
3,10,18,5,47.33272089,7.957782,136.3873995221212,16,20
3,14,17,5,14.56002553,5.713488,104.97861488065128,20,13
9,7,16,8,40.54284142,6.425527,230.69959325150907,10,5
9,18,27,8,56.34296165,6.857435000000001,252.38041691729305,6,5
2,16,18,5,22.9136176,6.870048,262.6415751431312,5,14
2,2,10,5,23.01799947,6.021285,136.52804474104676,2,10
2,12,29,5,26.1894427,7.153111,346.0309838421578,9,20
2,13,14,5,22.47671204,6.1497,100.479453563965,2,9
2,5,8,5,14.97878372,5.160807,75.63295693651922,1,20
1,5,17,5,14.96061853,5.359237,69.87261079284771,14,0
2,4,7,5,11.22829945,5.341077,66.1344523626015,6,17
4,4,19,0,25.46720601,6.200198,84.0399753748314,5,15
10,44,56,2,28.8402435,5.997696,77.21637118526824,0,12
2,2,10,5,30.67616776,5.951407,264.7743641437398,2,20
2,2,9,5,16.2403506,5.48463,62.92916102941136,7,8
3,13,13,5,12.95779834,5.289416,80.0936554175134,3,2
3,16,27,5,13.19123073,5.038692,93.33312472299396,19,8
2,6,15,5,19.49111978,6.361339,61.474011258485305,8,20
2,10,13,5,25.08042926,8.718778999999998,149.11859813620285,7,5
2,3,4,5,13.30269543,4.940098,70.2720960390917,3,17
2,17,17,5,13.66093584,5.48879,64.11209957262815,10,8
2,17,18,5,13.86149462,5.086847,38.4154587228036,2,20
3,41,41,3,31.56455057,6.524972,328.1030104193951,15,20
9,2,25,8,42.82049017,6.364212,295.4252823531823,0,5
2,10,23,5,19.01040433,6.350441,144.67539776930033,19,20
4,11,11,0,28.108380800000003,6.347883,125.18976203928209,1,20
2,14,24,5,21.08731962,5.823784,165.34578788456378,5,20
2,4,22,5,83.12484313999998,7.906564999999999,416.15913313136326,4,2
12,8,17,1,11.8242799,4.559238,45.111623817283935,13,4
9,16,25,8,53.1699582,5.9296940000000005,228.8434725454067,10,9
3,4,25,5,51.56068858,7.520972,262.2389534424745,3,20
9,12,2,8,21.35104563,10.039954,117.52839436844276,7,20
3,4,10,5,28.2110163,6.8377740000000005,127.42506357622024,20,10
4,3,27,0,16.64496311,5.076872,61.01674922042913,13,3
2,9,12,5,50.9939186,7.79743,209.7802677018093,13,20
9,17,24,8,13.83921569,5.9554730000000005,113.7096785827556,10,13
4,1,11,0,48.18778726,7.806609,207.48735444960704,12,1
3,6,24,5,20.44092556,5.640569,84.7435316225554,14,2
2,12,16,5,10.94418414,4.848124,48.52210529968124,20,15
2,1,19,5,12.42170062,5.571831,84.10617107059333,1,12
3,5,12,5,11.68463287,5.232332,55.24484771839518,7,20
3,14,25,5,33.18199334,7.272802999999999,77.08695117160904,0,18
2,14,17,5,24.83987705,6.2858540000000005,279.07048843319046,9,20
2,4,9,5,18.76293738,8.666316999999998,91.58397362001809,15,6
4,11,14,0,41.8775834,7.605345,104.64185872266044,1,7
3,13,24,5,15.87649581,5.499421,75.51327643919404,15,8
4,7,7,0,29.03074394,6.008959,97.02968386313539,17,13
2,40,40,3,24.03996215,5.9350510000000005,128.51902586004633,18,20
2,13,26,5,12.10736691,5.535008,58.639481852181135,0,4
9,2,2,8,47.82378078,6.472639,254.7373798701327,1,20
1,13,16,5,21.19460445,5.513496,86.33668538763847,4,9
3,16,28,5,22.50586008,5.991017,115.04828431076912,2,4
3,12,16,5,18.11953025,5.342656,101.51960089313177,18,2
3,10,14,5,42.10001067,8.600697,165.51647703523167,13,10
3,5,26,5,11.39543545,5.57744,81.01478255554714,6,20
1,9,24,5,29.13097924,6.992108999999999,131.77780199479972,4,20
2,1,1,5,39.43209535,6.982799000000001,169.81474019295968,1,0
3,11,25,5,10.93554651,5.317901999999999,56.30942637667108,6,17
3,13,20,5,11.89140351,5.496077,50.22734604087989,5,9
9,2,16,8,169.6082149,8.843831,320.0348941341982,0,20
3,12,12,5,51.36640027,7.116944,128.1002266576822,0,19
4,3,3,0,32.33766519,5.795905,155.1249083364461,0,12
3,13,22,5,14.35729866,5.525527,78.30703193813363,10,5
2,10,12,5,17.55707953,7.065658999999999,133.82376073114204,7,20
2,4,6,5,17.63948292,5.723004,92.9843179769966,4,1
4,4,5,0,60.16724896,7.322657999999999,223.69886192590465,20,15
4,11,14,0,36.05090878,6.958074000000001,152.33230837334276,14,20
3,13,23,5,26.33405475,6.115715,183.15672203476976,14,4
2,14,28,5,29.18250927,6.375674,163.6616769415136,13,3
2,1,29,5,9.897502536,5.154507,55.15488099971625,6,20
3,11,16,5,16.08866187,5.144084,78.0438999205663,4,16
9,5,16,8,76.69341423,7.343716,160.8317696785544,8,10
2,18,22,5,32.60165695,7.522017999999998,255.52281408568197,14,5
2,4,26,5,18.62861264,5.557648,137.3592051604016,7,1
3,24,28,5,21.02485842,5.785612,148.2958566207978,8,10
3,1,27,4,21.0567554,5.481267,68.95907717602356,9,13
12,1,4,1,16.89582063,5.882304,165.26110361542194,19,13
3,13,16,5,23.78184047,6.130638,102.85573047292476,3,15
2,2,4,5,19.11813761,5.178874,124.83600299684367,4,9
9,13,13,8,81.64582862,8.318392999999999,199.82631693186372,0,20
9,12,2,8,27.86329795,7.457391,178.92481964935175,15,20
4,1,9,0,60.46729256,8.403178999999998,184.85833109191165,5,13
3,18,25,5,7.970399808,5.175136,42.633824831282816,18,3
9,18,19,8,63.94118868,6.022309,356.6972399168732,13,16
2,4,14,5,33.30207748,6.707508,175.26804395728658,17,13
3,12,24,5,23.55025487,5.672464,96.66816622293939,1,9
4,6,17,0,28.87548708,5.433192,142.28855596126633,13,15
3,12,18,5,8.837486027,4.5565430000000005,52.3352084827352,15,20
2,18,24,5,21.31438296,5.967916000000001,196.79551150994627,9,4
3,10,25,5,25.0581111,7.002089999999999,95.96279413318705,6,18
3,5,11,5,25.03600798,6.216904,122.68703649452772,2,20
2,22,22,5,17.29778334,5.967211,116.74989336791104,20,12
12,13,24,1,30.2220153,6.332058999999999,84.43285755915404,18,10
10,50,53,2,22.5389163,5.989083,66.7064426015418,10,2
9,17,22,8,22.19610175,6.034876000000001,93.09657002966019,8,16
3,1,13,5,40.2119926,6.944702,255.8717859082273,1,4
3,11,26,5,15.11271463,5.309584,81.82382271746529,1,14
2,18,23,5,6.715553335,4.749635,64.45925555314516,4,20
1,9,24,5,15.97043972,5.597323,74.28543707491183,5,4
3,13,23,5,23.27291037,6.049656,131.1681743029075,4,9
3,14,29,5,17.4084738,5.638784,108.40477863511184,15,4
3,10,21,5,24.17049877,6.09049,87.38904838135977,7,14
2,12,12,5,11.42377149,5.500307,85.09200821545667,14,20
2,1,23,5,13.27274849,5.478343,70.29074968901965,8,5
2,16,20,5,18.94336835,5.152157,68.8616820126831,19,4
3,14,23,5,14.01084034,5.562422,96.19406637698368,4,5
9,3,27,8,9.361670921,4.735347,57.403883890141245,17,4
9,16,16,8,120.0707396,8.565779,428.57123877809374,17,20
2,8,10,5,17.094472500000002,5.016412,72.57078697047518,1,6
9,6,17,8,19.40394826,6.855331,133.75640949954382,3,20
2,14,28,5,19.84054525,5.5549040000000005,101.65925565276912,20,4
10,46,54,2,28.01490702,5.901046,118.1637740018284,5,7
9,1,13,8,11.94566074,4.900341,72.37962832785098,16,20
