iter	MAE	RMSE
0	63.22809256	83.66125346
1	59.94338614	79.62818036
2	57.0606467	75.987124
3	54.44843433	72.69681147
4	52.10366598	69.75716421
5	50.00557342	67.12966617
6	48.037576	64.67383248
7	46.30814301	62.55231781
8	44.78532712	60.64392436
9	43.41148535	59.00209185
10	42.15000892	57.50257189
11	40.99074697	56.12573492
12	39.91661401	54.81633975
13	38.91471401	53.56871527
14	38.08049077	52.57970495
15	37.26498112	51.61957506
16	36.56682437	50.85027337
17	35.92373506	50.12778027
18	35.32112341	49.43144607
19	34.80275553	48.85033402
20	34.24591349	48.22151963
21	33.78631245	47.73995181
22	33.37753638	47.323482
23	32.907295	46.80318072
24	32.55757374	46.43198993
25	32.23515525	46.07011117
26	31.93407382	45.73186207
27	31.61868213	45.38491065
28	31.37157326	45.14984061
29	31.07450299	44.8358322
30	30.84268138	44.58674159
31	30.64479529	44.39175215
32	30.46128254	44.19860711
33	30.2715604	44.01248182
34	30.06764152	43.77263365
35	29.91775928	43.62520731
36	29.77239816	43.44658029
37	29.64830041	43.30860352
38	29.52711152	43.17548358
39	29.41361513	43.07074315
40	29.29501426	42.93944256
41	29.16848441	42.81319568
42	29.0577308	42.68063699
43	28.95222855	42.54980165
44	28.85081037	42.4508975
45	28.75021901	42.34831587
46	28.66623529	42.26586609
47	28.56874684	42.16088569
48	28.48624078	42.06507358
49	28.38016181	41.91711814
50	28.31591703	41.83111847
51	28.25943547	41.77490983
52	28.21461648	41.72269738
53	28.16191316	41.66304518
54	28.07764558	41.54764508
55	28.01185076	41.45888967
56	27.95090644	41.39082875
57	27.90629801	41.33105592
58	27.8539371	41.26044915
59	27.80721728	41.20071883
60	27.75505393	41.12897053
61	27.68860903	41.04373186
62	27.64270035	40.99151397
63	27.58273724	40.89785607
64	27.54935757	40.85251168
65	27.51357703	40.79103036
66	27.46155398	40.72271812
67	27.39868332	40.61509367
68	27.35812133	40.55649757
69	27.32887884	40.51520239
70	27.28355573	40.45603666
71	27.21799032	40.36607791
72	27.19406193	40.32464365
73	27.15810799	40.27760139
74	27.13091581	40.245185
75	27.09361924	40.19037569
76	27.04736143	40.12875711
77	27.0188745	40.08926649
78	26.98656163	40.04069853
79	26.9596183	40.00102506
80	26.91578616	39.92245237
81	26.88603063	39.87872351
82	26.84363215	39.8044069
83	26.80524555	39.74950831
84	26.77449673	39.69752163
85	26.74145094	39.64079776
86	26.71465099	39.59685707
87	26.67476542	39.51614688
88	26.64779234	39.47588321
89	26.62475613	39.44328254
90	26.59651343	39.39228354
91	26.57711281	39.36897347
92	26.55030101	39.32300119
93	26.51830866	39.27237203
94	26.49344231	39.22634172
95	26.46935298	39.18338739
96	26.44004467	39.14092216
97	26.41798869	39.10489004
98	26.38165532	39.06790185
99	26.36416128	39.04530506
100	26.34400099	39.00712587
101	26.32157465	38.97450321
102	26.27330283	38.91177249
103	26.24678946	38.86445221
104	26.22304288	38.82966906
105	26.1996499	38.78034413
106	26.18165921	38.7526645
107	26.16547543	38.7341807
