iter	Passed	Remaining
0	7	7547
1	14	7010
2	20	6648
3	25	6426
4	32	6385
5	38	6429
6	44	6274
7	49	6112
8	54	6048
9	60	6001
10	66	5944
11	72	5961
12	78	5927
13	83	5875
14	89	5886
15	97	5969
16	102	5908
17	107	5872
18	113	5845
19	118	5814
20	123	5772
21	129	5761
22	135	5750
23	141	5771
24	147	5748
25	153	5733
26	158	5709
27	164	5712
28	170	5702
29	175	5681
30	181	5670
31	186	5648
32	192	5629
33	198	5628
34	204	5634
35	210	5639
36	217	5648
37	223	5646
38	231	5696
39	237	5699
40	243	5695
41	249	5691
42	254	5671
43	263	5716
44	268	5705
45	274	5688
46	279	5676
47	285	5661
48	291	5655
49	297	5645
50	302	5629
51	308	5615
52	313	5603
53	319	5592
54	325	5587
55	330	5570
56	336	5570
57	342	5559
58	347	5547
59	353	5534
60	358	5516
61	363	5502
62	369	5491
63	374	5483
64	380	5471
65	386	5462
66	391	5450
67	398	5455
68	404	5460
69	410	5452
70	415	5441
71	421	5433
72	427	5431
73	433	5418
74	438	5408
75	445	5410
76	450	5401
77	456	5397
78	461	5385
79	468	5386
80	473	5377
81	481	5388
82	487	5380
83	492	5370
84	498	5363
85	504	5357
86	510	5355
87	515	5346
88	521	5340
89	527	5332
90	533	5330
91	540	5329
92	545	5322
93	551	5310
94	556	5300
95	561	5289
96	567	5281
97	573	5275
98	578	5268
99	584	5256
100	590	5254
101	595	5246
102	601	5241
103	607	5236
104	613	5229
105	618	5220
106	624	5210
107	630	5206
108	635	5197
109	642	5195
110	647	5189
111	653	5180
112	658	5168
113	664	5163
114	670	5159
115	676	5152
116	681	5144
117	687	5135
118	692	5127
119	698	5124
120	700	5090
121	706	5081
122	711	5075
123	717	5068
124	723	5062
125	728	5056
126	734	5049
127	740	5042
128	745	5036
129	752	5035
130	758	5029
131	763	5020
132	769	5015
133	774	5007
134	780	4999
135	785	4993
136	791	4986
137	797	4980
138	802	4972
139	807	4962
140	813	4959
141	819	4953
142	825	4946
143	830	4938
144	836	4932
145	842	4926
146	848	4923
147	854	4920
148	860	4912
149	865	4907
150	871	4901
151	877	4894
152	882	4886
153	888	4878
154	893	4871
155	899	4866
156	905	4859
157	910	4852
158	916	4847
159	922	4842
160	928	4837
161	933	4831
162	939	4824
163	945	4817
164	951	4813
165	956	4807
166	962	4801
167	968	4794
168	973	4785
169	978	4778
170	985	4775
171	990	4768
172	996	4762
173	1002	4759
174	1008	4754
175	1014	4749
176	1020	4742
177	1025	4737
178	1032	4733
179	1037	4726
180	1042	4718
181	1048	4711
182	1053	4703
183	1059	4699
184	1065	4692
185	1070	4685
186	1075	4676
187	1081	4672
188	1087	4665
189	1092	4658
190	1098	4651
191	1103	4644
192	1109	4637
193	1115	4632
194	1121	4629
195	1128	4627
196	1133	4620
197	1139	4614
198	1144	4607
199	1150	4600
200	1156	4596
201	1162	4591
202	1167	4584
203	1172	4576
204	1178	4569
205	1184	4564
206	1190	4560
207	1196	4556
208	1202	4551
209	1209	4550
210	1216	4547
211	1222	4543
212	1229	4542
213	1240	4556
214	1255	4584
215	1266	4596
216	1275	4603
217	1282	4600
218	1288	4594
219	1294	4589
220	1300	4582
221	1308	4584
222	1314	4579
223	1321	4576
224	1331	4587
225	1339	4587
226	1346	4585
227	1353	4583
228	1359	4577
229	1364	4569
230	1369	4560
231	1375	4554
232	1381	4546
233	1386	4538
234	1392	4531
235	1397	4523
236	1402	4516
237	1408	4509
238	1414	4502
239	1419	4494
240	1425	4489
241	1431	4484
242	1437	4478
243	1442	4470
244	1448	4464
245	1454	4457
246	1459	4449
247	1464	4441
248	1470	4434
249	1475	4427
250	1481	4421
251	1487	4416
252	1493	4410
253	1498	4402
254	1504	4395
255	1510	4388
256	1515	4381
257	1520	4374
258	1527	4368
259	1532	4362
260	1540	4360
261	1545	4353
262	1551	4346
263	1556	4340
264	1563	4335
265	1568	4328
266	1574	4321
267	1579	4314
268	1585	4307
269	1590	4300
270	1595	4292
271	1601	4286
272	1606	4278
273	1612	4272
274	1618	4266
275	1624	4260
276	1630	4254
277	1635	4248
278	1642	4244
279	1647	4237
280	1653	4230
281	1658	4223
282	1664	4216
283	1669	4209
284	1675	4202
285	1680	4195
286	1685	4188
287	1691	4181
288	1697	4175
289	1702	4168
290	1708	4163
291	1714	4156
292	1719	4149
293	1725	4144
294	1731	4136
295	1737	4131
296	1742	4125
297	1748	4118
298	1753	4111
299	1759	4105
300	1765	4098
301	1771	4093
302	1777	4088
303	1782	4081
304	1788	4075
305	1793	4067
306	1798	4060
307	1804	4054
308	1810	4047
309	1815	4041
310	1822	4038
311	1829	4035
312	1835	4029
313	1841	4023
314	1847	4016
315	1853	4010
316	1858	4004
317	1863	3997
318	1869	3991
319	1875	3984
320	1880	3978
321	1886	3971
322	1892	3965
323	1897	3959
324	1903	3953
325	1909	3947
326	1915	3941
327	1921	3935
328	1926	3930
329	1932	3923
330	1937	3916
331	1943	3910
332	1948	3903
333	1954	3898
334	1960	3892
335	1966	3886
336	1972	3879
337	1977	3873
338	1983	3867
339	1989	3861
340	1994	3854
341	1999	3847
342	2005	3841
343	2011	3835
344	2017	3829
345	2023	3824
346	2028	3817
347	2034	3811
348	2039	3805
349	2045	3798
350	2051	3792
351	2056	3785
352	2062	3779
353	2067	3772
354	2072	3766
355	2078	3760
356	2084	3754
357	2089	3747
358	2095	3741
359	2101	3735
360	2108	3731
361	2114	3726
362	2120	3720
363	2126	3714
364	2131	3708
365	2137	3702
366	2142	3695
367	2147	3688
368	2153	3682
369	2158	3676
370	2164	3669
371	2170	3663
372	2175	3656
373	2181	3650
374	2186	3644
375	2192	3638
376	2197	3631
377	2203	3625
378	2208	3619
379	2214	3613
380	2221	3608
381	2227	3603
382	2233	3598
383	2238	3591
384	2244	3585
385	2249	3578
386	2256	3574
387	2262	3569
388	2268	3563
389	2274	3557
390	2279	3551
391	2285	3544
392	2290	3538
393	2296	3531
394	2301	3525
395	2307	3518
396	2312	3512
397	2319	3508
398	2325	3502
399	2331	3496
400	2336	3490
401	2342	3484
402	2348	3478
403	2353	3471
404	2358	3465
405	2364	3459
406	2370	3453
407	2375	3447
408	2381	3441
409	2387	3435
410	2394	3432
411	2400	3426
412	2406	3420
413	2412	3415
414	2418	3409
415	2424	3404
416	2430	3397
417	2436	3392
418	2441	3386
419	2447	3379
420	2453	3373
421	2458	3367
422	2463	3360
423	2468	3354
424	2475	3348
425	2481	3343
426	2486	3337
427	2492	3331
428	2497	3324
429	2503	3318
430	2509	3312
431	2515	3307
432	2520	3300
433	2526	3294
434	2531	3288
435	2537	3281
436	2542	3275
437	2548	3269
438	2553	3262
439	2559	3256
440	2564	3251
441	2571	3246
442	2576	3239
443	2582	3233
444	2587	3227
445	2593	3221
446	2598	3214
447	2604	3209
448	2610	3203
449	2616	3198
450	2622	3191
451	2627	3185
452	2633	3179
453	2638	3173
454	2644	3167
455	2649	3160
456	2655	3155
457	2660	3148
458	2666	3142
459	2671	3136
460	2677	3130
461	2685	3126
462	2690	3120
463	2696	3114
464	2702	3109
465	2709	3105
466	2715	3099
467	2721	3093
468	2727	3088
469	2733	3082
470	2739	3076
471	2744	3070
472	2749	3063
